Frame,Eye State,Pupil Position,Driving Status,Head Rotation,Head Front Tilt,Head Side Tilt
0,Open,Center,Focus,Center,Straight Front Ahead,Straight
1,Open,Center,Focus,Center,Straight Front Ahead,Straight
2,Open,Center,Focus,Center,Straight Front Ahead,Straight
3,Open,Center,Focus,Center,Straight Front Ahead,Straight
4,Open,Center,Focus,Center,Straight Front Ahead,Straight
5,Open,Center,Focus,Center,Straight Front Ahead,Straight
6,Open,Center,Focus,Center,Straight Front Ahead,Straight
7,Open,Center,Focus,Center,Straight Front Ahead,Straight
8,Open,Center,Focus,Center,Straight Front Ahead,Straight
9,Open,Center,Focus,Center,Straight Front Ahead,Straight
10,Open,Center,Focus,Center,Straight Front Ahead,Straight
11,Open,Center,Focus,Center,Straight Front Ahead,Straight
12,Open,Center,Focus,Center,Straight Front Ahead,Straight
13,Open,Center,Focus,Center,Straight Front Ahead,Straight
14,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
15,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
16,Closed,Right,Distracted,Center,Straight Front Ahead,Straight
17,Open,Right,Focus,Center,Straight Front Ahead,Straight
18,Open,Right,Focus,Center,Straight Front Ahead,Straight
19,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
20,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
21,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
22,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
23,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
24,Open,Center,Focus,45Degree Left,Straight Front Ahead,Straight
25,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
26,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
27,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
28,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
29,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
30,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
31,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
32,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
33,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
34,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
35,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
36,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
37,Open,Right,Focus,45Degree Left,Straight Front Ahead,Straight
38,Open,Center,Focus,45Degree Left,Straight Front Ahead,Straight
39,Open,Center,Focus,45Degree Left,Front Tilt,Straight
40,Closed,Center,Distracted,45Degree Left,Front Tilt,Straight
41,Closed,Center,Distracted,45Degree Left,Front Tilt,Straight
42,Closed,Center,Distracted,Center,Front Tilt,Straight
43,Open,Center,Focus,Center,Front Tilt,Straight
44,Open,Center,Focus,Center,Front Tilt,Straight
45,Open,Center,Focus,Center,Straight Front Ahead,Straight
46,Open,Center,Focus,Center,Straight Front Ahead,Straight
47,Open,Center,Focus,Center,Straight Front Ahead,Straight
48,Open,Center,Focus,Center,Straight Front Ahead,Straight
49,Open,Center,Focus,Center,Straight Front Ahead,Straight
50,Open,Center,Focus,Center,Straight Front Ahead,Straight
51,Open,Center,Focus,Center,Straight Front Ahead,Straight
52,Open,Center,Focus,Center,Straight Front Ahead,Straight
53,Open,Center,Focus,Center,Straight Front Ahead,Straight
54,Open,Center,Focus,Center,Straight Front Ahead,Straight
55,Open,Center,Focus,Center,Straight Front Ahead,Straight
56,Open,Center,Focus,Center,Straight Front Ahead,Straight
57,Open,Center,Focus,Center,Straight Front Ahead,Straight
58,Open,Center,Focus,Center,Straight Front Ahead,Straight
59,Open,Center,Focus,Center,Straight Front Ahead,Straight
60,Open,Center,Focus,Center,Straight Front Ahead,Straight
61,Open,Center,Focus,Center,Straight Front Ahead,Straight
62,Open,Center,Focus,Center,Straight Front Ahead,Straight
63,Open,Center,Focus,Center,Straight Front Ahead,Straight
64,Open,Center,Focus,Center,Straight Front Ahead,Straight
65,Open,Center,Focus,Center,Straight Front Ahead,Straight
66,Open,Center,Focus,Center,Straight Front Ahead,Straight
67,Open,Center,Focus,Center,Straight Front Ahead,Straight
68,Open,Center,Focus,Center,Straight Front Ahead,Straight
69,Open,Center,Focus,Center,Straight Front Ahead,Straight
70,Open,Center,Focus,Center,Straight Front Ahead,Straight
71,Open,Center,Focus,Center,Straight Front Ahead,Straight
72,Open,Center,Focus,Center,Straight Front Ahead,Straight
73,Open,Center,Focus,Center,Straight Front Ahead,Straight
74,Open,Center,Focus,Center,Straight Front Ahead,Straight
75,Open,Center,Focus,Center,Straight Front Ahead,Straight
76,Open,Center,Focus,Center,Straight Front Ahead,Straight
77,Open,Center,Focus,Center,Straight Front Ahead,Straight
78,Open,Center,Focus,Center,Straight Front Ahead,Straight
79,Open,Center,Focus,Center,Straight Front Ahead,Straight
80,Open,Center,Focus,Center,Straight Front Ahead,Straight
81,Open,Center,Focus,Center,Straight Front Ahead,Straight
82,Open,Center,Focus,Center,Straight Front Ahead,Straight
83,Open,Center,Focus,Center,Straight Front Ahead,Straight
84,Open,Center,Focus,Center,Straight Front Ahead,Straight
85,Open,Center,Focus,Center,Straight Front Ahead,Straight
86,Open,Center,Focus,Center,Straight Front Ahead,Straight
87,Open,Center,Focus,Center,Straight Front Ahead,Straight
88,Open,Center,Focus,Center,Straight Front Ahead,Straight
89,Open,Center,Focus,Center,Straight Front Ahead,Straight
90,Open,Center,Focus,Center,Straight Front Ahead,Straight
91,Open,Center,Focus,Center,Straight Front Ahead,Straight
92,Open,Center,Focus,Center,Straight Front Ahead,Straight
93,Open,Center,Focus,Center,Straight Front Ahead,Straight
94,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
95,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
96,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
97,Open,Center,Focus,Center,Straight Front Ahead,Straight
98,Open,Center,Focus,Center,Straight Front Ahead,Straight
99,Open,Center,Focus,Center,Straight Front Ahead,Straight
100,Open,Center,Focus,Center,Straight Front Ahead,Straight
101,Open,Center,Focus,Center,Straight Front Ahead,Straight
102,Open,Center,Focus,Center,Straight Front Ahead,Straight
103,Open,Center,Focus,Center,Straight Front Ahead,Straight
104,Open,Center,Focus,Center,Straight Front Ahead,Straight
105,Open,Center,Focus,Center,Straight Front Ahead,Straight
106,Open,Center,Focus,Center,Straight Front Ahead,Straight
107,Open,Center,Focus,Center,Straight Front Ahead,Straight
108,Open,Center,Focus,Center,Straight Front Ahead,Straight
